,index,geometry,center_of_mass,tipologia,DESIGNACAO,coordinates,freguesia,concelho,cidade
174,538,"[[[-9.10794245800903, 38.7715373388879], [-9.10817807353163, 38.7714358025672], [-9.10835128398977, 38.7713681459246], [-9.10847805154771, 38.7713221888734], [-9.10849039170477, 38.7713181295122], [-9.10856214733305, 38.7712945283425], [-9.10871764660702, 38.7712433828761], [-9.10885917887498, 38.7711983635455], [-9.10891163509769, 38.771181678532], [-9.10892661001347, 38.7711777725448], [-9.10896321815795, 38.7711731752879], [-9.1090002907314, 38.7711736081192], [-9.1090061513403, 38.7711746075533], [-9.10901210537402, 38.7711751671524], [-9.10902563669714, 38.7711773474176], [-9.10905961637108, 38.771181895648], [-9.10908834449385, 38.7711822080149], [-9.10911695493735, 38.7711801475139], [-9.10914379569972, 38.7711746404709], [-9.10916970131588, 38.7711668572109], [-9.1091926712377, 38.7711574105606], [-9.1092140879724, 38.7711459426281], [-9.10922702281417, 38.7711374849041], [-9.10924161953921, 38.7711235775629], [-9.10925362911624, 38.7711090791026], [-9.10926372079016, 38.7710959631797], [-9.10927081029436, 38.7710848321178], [-9.10927873792674, 38.7710700682073], [-9.10928313697669, 38.7710612560844], [-9.10929048250079, 38.7710488314234], [-9.10930324935761, 38.7710314733139], [-9.1093223053197, 38.7710114803861], [-9.10934599209714, 38.7709884289102], [-9.1094174126538, 38.7709574925893], [-9.10950223248124, 38.7709209735518], [-9.1095348862418, 38.7709080782131], [-9.10953663615998, 38.7709073869411], [-9.10958719873407, 38.770887428297], [-9.10958771975692, 38.770881647384], [-9.10960042193505, 38.7708584228728], [-9.1096186451589, 38.7708337030479], [-9.10963620722272, 38.7708156024856], [-9.10964878902657, 38.7708035020569], [-9.10965533505005, 38.7707981672778], [-9.10971008377335, 38.7707614429479], [-9.10980118102801, 38.7707024787697], [-9.10995151139588, 38.7706029499503], [-9.11011204842196, 38.7704974761587], [-9.11019609839322, 38.770442287519], [-9.11024404147991, 38.7704107857532], [-9.1102631944601, 38.7703982012918], [-9.11025362291076, 38.7703886151638], [-9.11020292738599, 38.7703336246482], [-9.11017799284866, 38.7703065170364], [-9.11015145661517, 38.7702776696626], [-9.1100708965988, 38.7701900909032], [-9.11003186479971, 38.7701431014267], [-9.10999930626054, 38.7701439916153], [-9.10992900230977, 38.7701473345501], [-9.10970533438046, 38.7701577786814], [-9.10951255951374, 38.7701668983846], [-9.10948241384944, 38.7701683005538], [-9.10946779556481, 38.7701686416409], [-9.10945688103411, 38.7701683285692], [-9.10945015265265, 38.7701678992336], [-9.10942498096005, 38.770164655054], [-9.10940748896487, 38.7701608078434], [-9.10939052248409, 38.7701557188512], [-9.10936016481738, 38.7701435783885], [-9.10934783903337, 38.7701353691822], [-9.10934077917355, 38.7701317138754], [-9.10933305456041, 38.7701290047879], [-9.10932487180648, 38.7701273168611], [-9.1093164456091, 38.770126692118], [-9.10930714535099, 38.7701271697803], [-9.109296825505, 38.7701276600495], [-9.10922284295314, 38.7701311738789], [-9.10911303019786, 38.7701365332213], [-9.10906247481031, 38.7701387366308], [-9.10895472728189, 38.770144078463], [-9.10894754794612, 38.7701444349587], [-9.10890195305557, 38.7701466572784], [-9.10883531872274, 38.7701499497854], [-9.10878811944108, 38.7702191372213], [-9.10869215691084, 38.7703544533221], [-9.10862461977116, 38.7704494026943], [-9.10853826651951, 38.7705681767793], [-9.10842686194957, 38.7707245400025], [-9.10837943449581, 38.7707884180154], [-9.10832943067385, 38.7708510401942], [-9.10830728630376, 38.770878693193], [-9.10818063912008, 38.771016598733], [-9.1082359995961, 38.7710563366473], [-9.10826232831876, 38.7710752306737], [-9.10833531284234, 38.7711282175458], [-9.10842382564391, 38.7711917246993], [-9.10845681178113, 38.7712516781009], [-9.10849039170477, 38.7713181295122]]]",[-9.10920761 38.77072054],Pista Ciclável Bidirecional,Jardim Eduardo Prado Coelho,"(38.77072053736628, -9.109207613328312)",Olivais,Lisboa,Lisboa
175,546,"[[[-9.10933012874752, 38.7627333623575], [-9.10931100271682, 38.7627537925889], [-9.10928720113183, 38.7627785660467], [-9.10925900193998, 38.7628003533497], [-9.10922748375261, 38.7628194261083], [-9.10919407872941, 38.7628364346395], [-9.10915900866907, 38.7628512660134], [-9.10912062298305, 38.7628643168105], [-9.10908035181078, 38.762873269624], [-9.10903891110208, 38.7628779652903], [-9.10893363468851, 38.7628806243595], [-9.10882831096518, 38.7628816307752], [-9.1087253196803, 38.7628832508389], [-9.1086223075076, 38.7628831591696], [-9.1084024547233, 38.7628824201888], [-9.10817913444197, 38.7628819950122], [-9.10795605670579, 38.7628813779107], [-9.10779857934155, 38.7628807061736], [-9.10774028317118, 38.7628806991691], [-9.10752252346145, 38.7628798404104], [-9.10733667909716, 38.7628797913785], [-9.10718331871185, 38.7628800498466], [-9.10711456525327, 38.7628801654219], [-9.10689539968015, 38.7628808476657], [-9.10667136164494, 38.7628811894881], [-9.10644755717167, 38.7628809555359], [-9.10622938603357, 38.7628802389697], [-9.10610715945936, 38.7628792947553], [-9.10588219076949, 38.762879513998], [-9.10572887889323, 38.7628811257466], [-9.10550549033995, 38.7628820769655], [-9.1052851066513, 38.7628825749895], [-9.10507372587842, 38.7628826177173], [-9.10492014899915, 38.7628823305305], [-9.10469781416967, 38.7628838904454], [-9.10451500072116, 38.7628842119545], [-9.10430393435863, 38.7628857102292], [-9.10417561091863, 38.7628867763227], [-9.10412617932348, 38.7628836445854], [-9.10407718465022, 38.7628783493292], [-9.10402897442322, 38.7628697237275], [-9.10396434602841, 38.7628710300776], [-9.10375622703833, 38.7628732197025], [-9.10365919910617, 38.762873804583], [-9.10361171056701, 38.7628744132792]]]",[-9.1068003  38.76286671],Pista Ciclável Unidirecional,Avenida de Pádua,"(38.76286671120182, -9.106800301025745)",Olivais,Lisboa,Lisboa
176,571,"[[[-9.14508890083347, 38.7333186635231], [-9.14504666704671, 38.7333054753869], [-9.14500321539307, 38.7332949669398], [-9.14495882478032, 38.7332872056346], [-9.14491895830554, 38.7332825514453], [-9.14487878668513, 38.7332799438021], [-9.14482654659638, 38.7332797652279], [-9.14477449273954, 38.7332832077256], [-9.14472303678118, 38.7332902440698], [-9.14468857273309, 38.7332954966733], [-9.14465500197484, 38.7333035323169], [-9.14460394784885, 38.7333190819994], [-9.14455482040064, 38.733338035745], [-9.14450799178027, 38.7333602499727], [-9.14447549612317, 38.7333779977497], [-9.14444372899978, 38.7333972724458], [-9.14440831563826, 38.7334230623972], [-9.14437670030656, 38.7334516985926], [-9.14435281679809, 38.7334754734487], [-9.14432351824509, 38.733507430184], [-9.14429457677419, 38.7335485719179], [-9.1442709642544, 38.7335917350419], [-9.14425290976544, 38.7336365008006], [-9.14424343268597, 38.7336629868481], [-9.14423840017699, 38.7336902035992], [-9.14423149985752, 38.7337379206651], [-9.14423149572569, 38.7337859403332], [-9.14423500993511, 38.7338159264461], [-9.14424041501467, 38.7338493159292], [-9.14424916252849, 38.7338822715395], [-9.14426119852059, 38.7339145900025], [-9.14428050914539, 38.7339539989955], [-9.14430408648787, 38.7339919689629], [-9.14433175638745, 38.7340282194314], [-9.14436331445274, 38.7340624826297], [-9.14439852757133, 38.7340945054662], [-9.14444036880765, 38.7341261899791], [-9.14448585819118, 38.7341546512802], [-9.14453458929128, 38.7341796350823], [-9.14458612671378, 38.7342009181683], [-9.14464000999104, 38.7342183103851], [-9.14469475071313, 38.7342309327239], [-9.14475049917774, 38.7342405020216], [-9.14481647235051, 38.734245481457], [-9.14488117391491, 38.7342455126885], [-9.14494549108657, 38.734240019214]]]",[-9.14453941 38.73370001],Pista Ciclável Bidirecional,Praça do Duque de Saldanha,"(38.73370001406281, -9.144539411728948)",São Sebastião da Pedreira,Lisboa,Lisboa
177,573,"[[[-9.11779135771371, 38.7528254896014], [-9.11823958649777, 38.7527527853259], [-9.11861907080639, 38.752690829604], [-9.11905193031424, 38.7526201589067], [-9.11915533538659, 38.7526032761951], [-9.11916285665105, 38.7526029577951], [-9.11917034692431, 38.7526035777283], [-9.11917761495195, 38.7526051201657], [-9.11918447515431, 38.7526075457229], [-9.11919075236499, 38.7526107924665], [-9.11920181421938, 38.7526199788637], [-9.11920642718537, 38.7526246029955], [-9.11921191919143, 38.7526286005411], [-9.1192181522257, 38.7526318710439], [-9.11922496965458, 38.7526343323176], [-9.11923220015887, 38.7526359225116], [-9.11923966203896, 38.7526366016649], [-9.11925395472429, 38.7526355592561], [-9.11926785080198, 38.7526327510648], [-9.11928099394153, 38.7526282491], [-9.11929304711967, 38.7526221688031], [-9.11932001270413, 38.7526040454561], [-9.11934272575148, 38.7525826693197], [-9.11935676970012, 38.7525650038595], [-9.11936704098147, 38.7525458242182], [-9.11937327928539, 38.7525256164737], [-9.11937532651148, 38.7525048927602], [-9.11937386253021, 38.752484365134], [-9.11936795124707, 38.7524643292803], [-9.11935776426769, 38.7524453668441], [-9.1193435973219, 38.7524280283095], [-9.11932586167867, 38.7524128170186], [-9.11925598891924, 38.7523645912576], [-9.11924251778323, 38.7523549844921]]]",[-9.11916991 38.75258046],Percurso Ciclopedonal,Ponte Ciclopedonal do Parque hortícola do Vale de Chelas,"(38.75258046194404, -9.11916991225615)",Marvila,Lisboa,Lisboa
178,574,"[[[-9.09195849610512, 38.7693213804649], [-9.09144852700991, 38.7745966145543], [-9.09149415423982, 38.7745861955848]]]",[-9.09163373 38.77283473],Percurso Ciclopedonal,Passeio das Tágides,"(38.77283473020133, -9.09163372578495)",Parque das Nações,Lisboa,Lisboa
179,578,"[[[-9.11301341455019, 38.7505466365608], [-9.11197998007096, 38.7505264844667], [-9.1119252582971, 38.7505195046179], [-9.11187162707799, 38.7504990652794], [-9.11175414540515, 38.750420291629], [-9.11156909515157, 38.7503120032014], [-9.11147324311411, 38.7502726236399], [-9.11139773701954, 38.7502485706407], [-9.11132481088647, 38.7502358887456], [-9.11106228093963, 38.7502400775124], [-9.11090313181063, 38.7502565145136], [-9.1107507577755, 38.7502862758308], [-9.11056180524032, 38.7503011526316], [-9.11005113276422, 38.7503756928179], [-9.10897063015734, 38.7504549968549], [-9.10891957979805, 38.7504459292773], [-9.10884443572455, 38.750371100526], [-9.10882124122393, 38.7503480031493], [-9.10874782461067, 38.7502992421521], [-9.10867237061841, 38.7502789835001], [-9.10854380463325, 38.7502762610484], [-9.10841309796278, 38.7502944438849], [-9.10834066500478, 38.7503178376238], [-9.10839713400186, 38.7503686400942], [-9.10842184845197, 38.7504026146421], [-9.10843211709396, 38.7504443081403], [-9.10822711615624, 38.7508827907265]]]",[-9.11005149 38.75037874],Percurso Ciclopedonal,Corredor Verde Oriental,"(38.75037873828546, -9.110051492057082)",Marvila,Lisboa,Lisboa
180,580,"[[[-9.15784538660141, 38.7298131301571], [-9.1578201232807, 38.7297954193366], [-9.15781524453037, 38.7297917563575], [-9.15779919253457, 38.7297780539965], [-9.15779311812663, 38.7297717007197], [-9.15776057755377, 38.7297346952887], [-9.15770540931722, 38.7296719585445], [-9.15758597740189, 38.7295372808086], [-9.15753923985427, 38.7294841060817], [-9.15748277624711, 38.7294151643751], [-9.15745413885417, 38.7293826297643], [-9.15741910725303, 38.7293430907947], [-9.15739059382759, 38.7293101623099], [-9.15734071576975, 38.72925459353], [-9.15730981821555, 38.729219694394], [-9.15724748142303, 38.7291499234016], [-9.15722254149582, 38.7291214238017], [-9.15718774076169, 38.7290816870655], [-9.15715980764795, 38.7290497893188], [-9.15712374118762, 38.7290107785593], [-9.15707128676154, 38.7289540399303], [-9.1570127624191, 38.7288876044356], [-9.15693417150984, 38.7287984772971], [-9.15684076558491, 38.7286929893779], [-9.15677440613655, 38.7286179191835], [-9.15675263726226, 38.7285932926498], [-9.1567045800895, 38.7285389272743], [-9.15663970196306, 38.7284655318143], [-9.15663243369408, 38.7284573094045], [-9.15654735155859, 38.7283610595555], [-9.15643949533402, 38.7282386306591], [-9.1564085627455, 38.7282035284967], [-9.15636916084051, 38.7281592220574], [-9.15624940283672, 38.7280228546495], [-9.15615517225836, 38.727915889002], [-9.15608504168246, 38.7278364421984], [-9.15605961307172, 38.7278076666602], [-9.15603434705603, 38.7277790740192], [-9.15599194837125, 38.7277310944206], [-9.15592934927068, 38.7276602539532], [-9.15581595223742, 38.7275319357127], [-9.15569697307298, 38.7273973226214], [-9.15558275497953, 38.7272680935627], [-9.15546008194267, 38.7271292982618], [-9.15535306564288, 38.7270082177111], [-9.15529260722763, 38.7269402133994], [-9.15525987980517, 38.7269024594396], [-9.15515818961671, 38.7267871994317], [-9.15512640273039, 38.7267509135886], [-9.15504922307443, 38.7266634047607], [-9.15504414399981, 38.7266576125567], [-9.1549728501056, 38.7265763142104], [-9.15494548203216, 38.7265457230609], [-9.15494178456644, 38.7265415903709], [-9.15489094620957, 38.7264850789468], [-9.15485641137679, 38.726446692613], [-9.15479080292001, 38.726372566858], [-9.15473866649757, 38.7263132057884], [-9.15468628842827, 38.7262539056404], [-9.15457582169947, 38.7261288415678], [-9.15445626581663, 38.7259934843678], [-9.15434051250238, 38.725862433444], [-9.15422192590171, 38.7257281746256], [-9.15410459694248, 38.7255954012966], [-9.15399072020886, 38.7254666301202], [-9.15395033734357, 38.7254209995301], [-9.15393304842573, 38.725402917748], [-9.15391740690187, 38.7253839448905], [-9.15389558772194, 38.7253512794923], [-9.15388399744621, 38.7253290353362], [-9.15387472973937, 38.7253061380039], [-9.15387141091409, 38.7252880156509], [-9.15387122451313, 38.7252697098421], [-9.15387416756363, 38.7252504312261], [-9.15387990134046, 38.7252315387095], [-9.15389246697466, 38.7252062101832], [-9.15389769606793, 38.725198518624]]]",[-9.15584064 38.72755096],Pista Ciclável Bidirecional,Rua Castilho,"(38.72755096491998, -9.155840639569108)",São Sebastião da Pedreira,Lisboa,Lisboa
181,587,"[[[-9.14806255079937, 38.7618360052324], [-9.14806238550934, 38.7618368794139], [-9.14804920542749, 38.7619079836795], [-9.14803613494012, 38.7619784861752], [-9.14802158223251, 38.7620573927665], [-9.14800990682877, 38.7621203637347], [-9.14800267179748, 38.7621586818628], [-9.1480002104136, 38.7621712390586], [-9.14796213621859, 38.7621934633354], [-9.14795483201702, 38.7622305605188], [-9.14795458947187, 38.7622316784563], [-9.14795168342193, 38.7622459930983], [-9.14794889055972, 38.7622556881916], [-9.1479458847968, 38.7622639263231], [-9.14794038980218, 38.7622759630574], [-9.1479487644806, 38.7622806101141], [-9.14795801834132, 38.7622840989191], [-9.14804980640042, 38.7623193853632], [-9.14808058358037, 38.7623232946373], [-9.14815244071826, 38.7623135694333], [-9.14817534685968, 38.7623112523073], [-9.14817591639157, 38.7623111955699], [-9.14818826912506, 38.7623101974125], [-9.14818964893734, 38.7623100846383], [-9.14819366710159, 38.7623098527856], [-9.14820056346804, 38.7623095550895], [-9.14821323151017, 38.7623093330432], [-9.14822135407696, 38.762309410094], [-9.14823309954931, 38.7623097743339], [-9.14826669740674, 38.7623129723683], [-9.148299610437, 38.762319130399], [-9.14833141117402, 38.7623281684461], [-9.14834940532745, 38.7623347871032], [-9.14836053455552, 38.7623395208191], [-9.1483665981837, 38.762342118829], [-9.14836999920534, 38.76234380694], [-9.148382144428, 38.7623498365081], [-9.14845799547565, 38.7623924259214], [-9.14848943740889, 38.7624107954961], [-9.14847185115968, 38.7624286630733], [-9.14845824430898, 38.7624485306856], [-9.14844996789016, 38.7624669722596], [-9.14844515238574, 38.7624861462079], [-9.14844389643017, 38.7625056597962], [-9.14844622574878, 38.7625251133339], [-9.14844803585409, 38.7625324170218], [-9.14845059605266, 38.7625405290387], [-9.14845342844074, 38.7625480379595], [-9.14845709985531, 38.7625565247202], [-9.14846076228671, 38.7625641345054], [-9.14846543083126, 38.7625730660554], [-9.14846960440404, 38.7625805637655], [-9.14847522067122, 38.7625902055785], [-9.14847870882945, 38.7625960207854], [-9.14848604177713, 38.7626080679704], [-9.14848998627955, 38.7626145247957], [-9.14849198862431, 38.7626178176503], [-9.14849532317064, 38.7626233407638], [-9.1484980073367, 38.7626278440098], [-9.14850121072901, 38.7626333054823], [-9.14850401167607, 38.7626381799704], [-9.14850711266041, 38.7626437163911], [-9.14850990642095, 38.7626488542507], [-9.14851288074287, 38.7626545202553], [-9.14851558916346, 38.7626598927675], [-9.1485167318205, 38.762662229495], [-9.14851953366585, 38.7626681644743], [-9.14852079220558, 38.762670933384], [-9.14852215494984, 38.7626740090941], [-9.14852423814301, 38.7626788772754], [-9.14853264637408, 38.762701234481], [-9.14854575767109, 38.7627439184247], [-9.14855297453204, 38.762787447375], [-9.14855421514413, 38.7628313278718], [-9.14854946544334, 38.7628750624707], [-9.14853877927393, 38.7629181553818], [-9.14852227777795, 38.7629601180909], [-9.14850014802201, 38.7630004748966], [-9.14848859164898, 38.7630167008003], [-9.14847462598648, 38.7630317305728], [-9.14845495927203, 38.7630483441676], [-9.14843867565504, 38.7630670513357], [-9.14842613643367, 38.7630874370042], [-9.14841761982608, 38.7631090488579], [-9.14841331479733, 38.7631314073759], [-9.14841331686667, 38.7631540164705], [-9.14842026264043, 38.7632060734214], [-9.14842623284381, 38.7632508659459]]]",[-9.14833202 38.76251974],Pista Ciclável Bidirecional,Rotunda Nelson Mandela,"(38.76251973590044, -9.14833201514891)",Lumiar,Lisboa,Lisboa
182,588,"[[[-9.16477828752021, 38.7739800963639], [-9.16477771978494, 38.7739801656983], [-9.16476408605389, 38.7739818724433], [-9.16475329189744, 38.7739832220114], [-9.16472261622712, 38.7739870662145], [-9.16389491571084, 38.774090692237], [-9.16388390601437, 38.7740913805734], [-9.16387289455417, 38.774090709604], [-9.16386215572611, 38.7740886960489], [-9.16385195713237, 38.7740853900838], [-9.16384255291293, 38.7740808740903], [-9.16383261035939, 38.7740752138956], [-9.16382779705294, 38.7740728244265], [-9.16382263315032, 38.774070931423], [-9.1638172024556, 38.7740695656063], [-9.1638112406448, 38.774068718044], [-9.16380518659036, 38.7740685066833], [-9.16380072911847, 38.7740687610082], [-9.16379632650672, 38.7740693611053], [-9.16376703244531, 38.7740745429643]]]",[-9.16406426 38.77405393],Pista Ciclável Bidirecional,Avenida Padre Cruz - Quinta das Conchas,"(38.77405392952626, -9.164064257092916)",Lumiar,Lisboa,Lisboa
183,589,"[[[-9.16787935632264, 38.7057076174152], [-9.16778916456979, 38.7056858950103], [-9.16770425131756, 38.7056823562773]]]",[-9.16779092 38.70569196],Percurso Ciclopedonal,Ponte ciclopedonal sobre a Av. Infante Santo - Rua Cova da Moura,"(38.70569195623426, -9.167790924069996)",Prazeres,Lisboa,Lisboa
184,594,"[[[-9.10879657079127, 38.7483399754358], [-9.10880099768897, 38.7483622845885], [-9.10880352824312, 38.7483879657124], [-9.1088062995458, 38.7484149001962], [-9.10880634980051, 38.7484433583744], [-9.10880185198681, 38.7484715995461], [-9.10879145323462, 38.7485035107844], [-9.10877561129906, 38.7485340304314], [-9.1087559376075, 38.7485606460433], [-9.10873276263864, 38.7485854883144], [-9.10870634669906, 38.7486082782126], [-9.10866521374053, 38.7486397545742], [-9.10862125019052, 38.7486727932491], [-9.10857262618083, 38.7487119137724], [-9.10854948958613, 38.7487315962768], [-9.10852503343707, 38.748750283237], [-9.10847556411268, 38.7487879689013], [-9.10840136686348, 38.748844500513], [-9.1083766344471, 38.7488633457748], [-9.10830809119426, 38.7489149346448], [-9.108305246877, 38.7489173024604], [-9.10830295087849, 38.7489200081745], [-9.10830126798407, 38.748922975441], [-9.10830024567934, 38.7489261205335], [-9.1082999128103, 38.7489293547083], [-9.10830027876938, 38.7489325867078], [-9.10830133323045, 38.7489357253358], [-9.10830304644018, 38.7489386820309], [-9.10830537005758, 38.7489413733652], [-9.10830823851799, 38.7489437233983], [-9.10843093670771, 38.7490413684135]]]",[-9.10853328 38.74872511],Pista Ciclável Bidirecional,Rua Ernesto Rodrigues,"(38.74872510803716, -9.10853328410453)",Marvila,Lisboa,Lisboa
185,599,"[[[-9.18553917569469, 38.7678584528507], [-9.18564069161001, 38.7680562474743], [-9.18570216691818, 38.7681445089457], [-9.185779668171, 38.7682272217136]]]",[-9.18566543 38.76807161],Pista Ciclável Bidirecional,Avenida Prof. Francisco da Gama Caeiro,"(38.76807160774608, -9.185665425598469)",Carnide,Lisboa,Lisboa
186,606,"[[[-9.21687141836976, 38.6937175052097], [-9.21691698504247, 38.6937216686252], [-9.21696215180672, 38.6937279486021], [-9.21700906901739, 38.6937354907006], [-9.21707156211677, 38.6937484764016], [-9.21714901694019, 38.6937686766109], [-9.21722448771745, 38.6937930257309], [-9.21722991264346, 38.6937949636637], [-9.21730207970015, 38.6938276946661], [-9.21737301247159, 38.6938615523738], [-9.21740259758716, 38.6938754298926], [-9.21745126202106, 38.6939009994928], [-9.2176012914533, 38.6939722387106], [-9.21764896145213, 38.6939952105842], [-9.21768092171334, 38.6940108941913], [-9.21777702258409, 38.6940581286882], [-9.21780623310221, 38.6940724871445], [-9.21785516074245, 38.694096108934], [-9.21801508691418, 38.6941739988738], [-9.21811119317485, 38.6942205664892], [-9.21816019447696, 38.6942440949794], [-9.21820902150593, 38.6942678450187], [-9.21830647434121, 38.6943156023877], [-9.21840670476736, 38.6943643847736], [-9.21845552281316, 38.6943881438876], [-9.21851007570372, 38.6944146948827], [-9.21865653163774, 38.6944859749553], [-9.21870539100604, 38.6945096821456], [-9.21880798849297, 38.694559103826], [-9.218934901578, 38.6946208701863], [-9.2189837205221, 38.6946446299162], [-9.21909388541697, 38.6946982463316], [-9.21916915255968, 38.694734902515], [-9.21926672397258, 38.6947825067272], [-9.21937103814, 38.6948333998767], [-9.21944891848189, 38.6948717050318], [-9.21945730515336, 38.6948758367485], [-9.21948653723104, 38.6948925185611], [-9.21966512949603, 38.6949758104787], [-9.21972489441189, 38.6950043103735], [-9.21979841882296, 38.6950401117334], [-9.22005990852069, 38.6951669185013], [-9.22011017465074, 38.6951915586562], [-9.22013940672839, 38.6952058888402], [-9.22022271109796, 38.6952467073081], [-9.2204149352974, 38.6953404286489], [-9.22046384137807, 38.6953640773631], [-9.2205881978578, 38.6954243861063], [-9.22072102814561, 38.6954890333095], [-9.22076983810657, 38.6955128032678], [-9.22089861070426, 38.6955755188167], [-9.22107134146201, 38.6956597403186], [-9.22122055432566, 38.695732663965], [-9.22127910112599, 38.6957612210497], [-9.22132825604003, 38.6957849628729], [-9.22137947348594, 38.6958097283143], [-9.22151995203008, 38.6958775456021], [-9.22159552639662, 38.6959137819158], [-9.22164454566503, 38.6959372867125], [-9.22170729658088, 38.6959673749443], [-9.22174040938059, 38.6959832516259], [-9.22178013288244, 38.6960033875579], [-9.22181499021041, 38.696020926567], [-9.22184431391623, 38.6960351430049], [-9.22189458902942, 38.6960596265129], [-9.22204034876912, 38.6961304043534], [-9.22210596980229, 38.6961627052078], [-9.22218009788121, 38.6961988873915], [-9.22222894377478, 38.6962226122429], [-9.22225826388735, 38.6962368335485], [-9.22235272712936, 38.6962827751328], [-9.22241380178892, 38.6963132544379], [-9.22244032275103, 38.6963258807034], [-9.22247273127155, 38.6963413233193], [-9.22250192561995, 38.6963556974428], [-9.22255980407374, 38.6963850794828], [-9.22258644900338, 38.6963975430786], [-9.22264868518456, 38.6964265451012], [-9.22270725354445, 38.69645507737], [-9.22285367893577, 38.6965263988781], [-9.22290931429627, 38.6965535092634], [-9.22296805064112, 38.6965818269432], [-9.22301819100701, 38.696606005283], [-9.2230590904036, 38.6966257217785], [-9.22310804589162, 38.6966493083706], [-9.2231666492858, 38.696677796381], [-9.22319886017696, 38.6966934906176], [-9.22322681664692, 38.6967067197661], [-9.22327544784312, 38.6967307150754], [-9.22335341352494, 38.6967689063367], [-9.22338271117965, 38.6967831366479], [-9.22347907435849, 38.6968299521576], [-9.22356690893202, 38.6968727699461], [-9.22365251209039, 38.6969140936589], [-9.22368724994242, 38.6969309068036], [-9.22374257987571, 38.6969583928265], [-9.22379003338061, 38.6969811379862], [-9.22386050262139, 38.6970144536518], [-9.22389247725561, 38.6970304366684], [-9.22395042308301, 38.6970597350002], [-9.22403860620285, 38.697102113762], [-9.22408775393038, 38.6971254555128], [-9.22410477880164, 38.6971334592784], [-9.22413738225656, 38.6971486486226], [-9.22416696916876, 38.6971625234005], [-9.22419631533248, 38.6971767108663], [-9.22422566149615, 38.6971908983293], [-9.22425501574471, 38.6972050759741], [-9.22437241028096, 38.6972618124659], [-9.22446881478234, 38.697310864869], [-9.22449491712953, 38.6973236998858], [-9.22458291789139, 38.6973663105547], [-9.22461514315557, 38.6973819871128], [-9.22467065005699, 38.6974092598286], [-9.22473216219607, 38.6974391988085], [-9.22476149129177, 38.6974534058502], [-9.22481011799642, 38.697476882097], [-9.22488346813432, 38.6975124136991], [-9.22493193673547, 38.6975359572319], [-9.2249612370851, 38.6975502021135], [-9.22505401418933, 38.6975955399116], [-9.22509893893667, 38.6976174400481], [-9.22516895003666, 38.6976514151483], [-9.22518983586701, 38.697661517935], [-9.22521910926719, 38.6976757964442], [-9.22531670403629, 38.697723375563], [-9.22534609870901, 38.697737499819], [-9.22537273735044, 38.6977502667532], [-9.22540755515254, 38.6977675073688], [-9.22543435010083, 38.697780849896], [-9.22548346908225, 38.6978042264799], [-9.22578882531195, 38.69795276713], [-9.22583842399373, 38.6979755778762], [-9.2258677207501, 38.6979898282791], [-9.22589179380308, 38.6980015379212], [-9.2259894721155, 38.6980490109584], [-9.22605754285446, 38.698081937722], [-9.22614554541295, 38.698124545836], [-9.22620123646901, 38.6981515883108], [-9.22629210465324, 38.6981957030263], [-9.22632144363044, 38.6982099008035], [-9.2263620717358, 38.698229562873], [-9.22636957626165, 38.6982345069589], [-9.2263852542917, 38.698245073217], [-9.22639894522196, 38.6982572055027], [-9.22641039460185, 38.6982706783328], [-9.2264193896408, 38.6982852413094], [-9.22642616922626, 38.6983117712273], [-9.22642632643142, 38.6983299476614], [-9.22641808618531, 38.698356186611], [-9.22641391979904, 38.6983680714653], [-9.22639699194584, 38.6983946707603], [-9.22637749041931, 38.6984252066547], [-9.22635983582906, 38.6984595908063], [-9.22635622909318, 38.6984690323533], [-9.2263463395402, 38.698494919306], [-9.22634272292288, 38.6985043874896], [-9.22633470815391, 38.698531656272], [-9.22632514468941, 38.698593046224], [-9.22632500275557, 38.698628441962], [-9.22632568278024, 38.6986554583062], [-9.22633015908531, 38.6986867330333], [-9.22633133318338, 38.6986989122885], [-9.22633134306485, 38.6987002751983]]]",[-9.22251478 38.69639199],Pista Ciclável Bidirecional,Rua Fernão Mendes Pinto,"(38.69639199222479, -9.222514775525772)",Belém,Lisboa,Lisboa
187,622,"[[[-9.09361178250349, 38.7829591923676], [-9.09306614939318, 38.7831630254467], [-9.09278784143669, 38.7832461150437], [-9.09248270529421, 38.7833280736321], [-9.09209747625936, 38.7834105993322], [-9.09164276613054, 38.7834868485658], [-9.09158589828145, 38.7834942523447]]]",[-9.0924678 38.7832983],Percurso Ciclopedonal,Caminho das Gaivotas,"(38.78329830096184, -9.092467802756989)",Parque das Nações,Lisboa,Lisboa
