X,Y,gid,Estado de Conservação,Tipo de Abrigo,Abrigo com Publicidade?,Tem Bolsa?,Operadora,Carreira,Código de Rua,Nome da Rua,Freguesia,Observações,Data da Observação
-9.30127105718672,38.7293740138099,756,Bom,Fechado dos Lados,Sim,Não,LT,"106,112,119",735,Estrada de Leião,Porto Salvo,n/a,2012/07
-9.30127105718672,38.7293740138099,754,Bom,Fechado dos Lados,Sim,Não,Vimeca,15,735,Estrada de Leião,Porto Salvo,n/a,2012/07
-9.30248093988859,38.7231317871435,208,Bom,Fechado dos Lados,Sim,Não,LT,"106,112",735,Estrada de Leião,Porto Salvo,n/a,2012/07
-9.28143923348257,38.7457184427232,1013,Bom,Sem Abrigo,Não,Não,LT,101,217,Rua da Constituição,Barcarena,n/a,2012/07
-9.28105995318814,38.7441413226773,102,Bom,Sem Abrigo,Não,Não,LT,101,217,Rua da Constituição,Barcarena,n/a,2012/07
-9.28109630188789,38.7439116283003,101,Bom,Sem Abrigo,Não,Não,LT,101,217,Rua da Constituição,Barcarena,n/a,2012/07
-9.2909245008212,38.698275045012,570,Bom,Fechado dos Lados,Sim,Não,LT,111,605,Rua Conde das Alcáçovas,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29107438465775,38.6985455066155,441,Bom,Fechado dos Lados,Sim,Não,LT,"119,115",605,Rua Conde das Alcáçovas,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29116976202548,38.6987290420119,440,Bom,Fechado dos Lados,Sim,Não,LT,"125,129,158,184",605,Rua Conde das Alcáçovas,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30961582466224,38.6974126998904,543,Bom,Fechado dos Lados,Sim,Não,LT,"106,112,122",545,Praça Comandante Henrique Moreira Rato,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.3093473612943,38.6973805406827,10,Bom,Fechado dos Lados,Sim,Não,LT,"106,112,122",545,Praça Comandante Henrique Moreira Rato,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30831236675843,38.6947658934945,566,Bom,Fechado dos Lados,Sim,Não,LT,111,547,Rua Comandante Germano Dias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30795828089694,38.6946914441626,531,Bom,Fechado dos Lados,Sim,Não,LT,111,547,Rua Comandante Germano Dias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31036319613567,38.6939981558351,504,Bom,Fechado dos Lados,Sim,Não,LT,111,547,Rua Comandante Germano Dias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.29352460659471,38.7200003034023,259,Bom,Fechado dos Lados,Sim,Não,LT,"119,184",685,Rua Carlos Paião,Porto Salvo,n/a,2012/07
-9.30779863966048,38.6933218795454,933,Bom,Fechado dos Lados,Sim,Não,SCoTTURB,471,533,Rua Cândido dos Reis,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.30779863966048,38.6933218795454,535,Bom,Fechado dos Lados,Sim,Não,LT,115,533,Rua Cândido dos Reis,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31130473121277,38.6926149819986,506,Bom,Fechado dos Lados,Sim,Sim,SCoTTURB,471,533,Rua Cândido dos Reis,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.31125430312119,38.6926237772909,505,Bom,Fechado dos Lados,Sim,Sim,LT,"106,111,112,115,122",533,Rua Cândido dos Reis,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-9.27739829124259,38.7082499610643,305,Bom,Sem Abrigo,Não,Não,LT,158,858,Rua Calvet de Magalhães,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
