X,Y,OBJECTID,CATEGORY,SUBCATEGORY,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,CREATE_DATE,UPDATE_DATE,TRAFFICCONTROLID,INSTALLATION_DATE,OWNERSHIP
-80.4619928709166,43.3964065414004,110,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2004/01/29 12:16:06+00,2004/01/29 12:16:06+00,2014/08/11 16:43:04+00,37,2001/01/01 00:00:00+00,KITCHENER
-80.5216227249344,43.4331788418724,111,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,183,2000/01/01 00:00:00+00,KITCHENER
-80.4393897085549,43.4216642042002,112,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,184,1970/01/01 00:00:00+00,REGION
-80.4483334223995,43.4201295912905,113,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 15:14:19+00,185,1970/01/01 00:00:00+00,REGION
-80.4996777883238,43.4060908827238,114,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,186,1970/01/01 00:00:00+00,REGION
-80.3933414399736,43.4081713118545,115,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,187,1970/01/01 00:00:00+00,REGION
-80.5101803997918,43.4381832111133,116,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,188,1970/01/01 00:00:00+00,REGION
-80.4579220559379,43.405347755013,117,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,189,1970/01/01 00:00:00+00,REGION
-80.4069895535038,43.3854006502401,118,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,190,1970/01/01 00:00:00+00,REGION
-80.4814704863897,43.4295522660774,119,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,191,1970/01/01 00:00:00+00,REGION
-80.5114440279228,43.4571249309087,120,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,192,1970/01/01 00:00:00+00,REGION
-80.3999327985451,43.4109219425567,121,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 15:14:49+00,193,1970/01/01 00:00:00+00,REGION
-80.3953808694424,43.4066329855194,122,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,194,1970/01/01 00:00:00+00,REGION
-80.3893492751458,43.4053131823686,123,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,195,1970/01/01 00:00:00+00,REGION
-80.5030524409213,43.4544030035933,124,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,196,1970/01/01 00:00:00+00,REGION
-80.4386797307577,43.4317821332636,125,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,197,1970/01/01 00:00:00+00,REGION
-80.4488076513848,43.4081448658323,126,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:43:04+00,198,1970/01/01 00:00:00+00,REGION
-80.4481698077321,43.44957617261,127,PEDESTRIAN SIGNAL,INTERSECTION PEDESTRIAN SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2016/06/23 12:30:28+00,199,1995/01/01 00:00:00+00,KITCHENER
-80.5013002143983,43.4549692010486,128,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,200,1970/01/01 00:00:00+00,REGION
-80.4814525476433,43.3580249988365,129,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,201,1970/01/01 00:00:00+00,REGION
-80.4334137026919,43.4393063792066,130,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,202,1970/01/01 00:00:00+00,REGION
-80.4625229014516,43.4458791396087,131,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,203,1970/01/01 00:00:00+00,REGION
-80.459106614825,43.4473132265292,132,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,204,1970/01/01 00:00:00+00,REGION
-80.4844994800773,43.4505951376427,133,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,205,1970/01/01 00:00:00+00,REGION
-80.4965521079457,43.4017198340213,134,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,206,1970/01/01 00:00:00+00,REGION
-80.4996771288901,43.4112690651635,135,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,207,1970/01/01 00:00:00+00,REGION
-80.4798638400619,43.4158864625216,136,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2014/08/11 16:59:11+00,208,1970/01/01 00:00:00+00,REGION
-80.4612030713532,43.4100817206695,137,TRAFFIC SIGNAL,TRAFFIC SIGNAL,ACTIVE,2008/09/23 00:00:00+00,DTS TRANSPORTATION PLANNING,2008/04/21 09:44:32+00,2008/04/21 09:44:32+00,2013/08/16 09:32:46+00,209,1970/01/01 00:00:00+00,REGION
