OBJECTID,ACTIVETRANSPORTID,STATUS,CATEGORY,SUBCATEGORY,FEATURE_TYPE,SURFACE_MATERIAL,ROUTE_NAME_1,ROUTE_NAME_2,ROUTE_NAME_PROPOSED,WIDTH_M,GRADE,RAILING,CURBCUT,STREET,ROADSEGMENTID,ROADSEGMENT_SIDE,WARD,OWNERSHIP,MAINTAINED_BY,INSTALLATION_YEAR,LAST_INSPECTION_YEAR,SURFACE_CONDITION,WAYFINDING,WINTER_MAINTAINED_BY,SIDEWALKER_PROGRAM,UPGRADE_YEAR,FACILITY_TYPE,Shape__Length
43943,321939,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RIVER RD E,15839,RIGHT,1,KITCHENER,UNKNOWN,1914,2020,UNKNOWN,X,,Y,,NA,24.5532419102812
43944,321940,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,RIVER RD E,15892,RIGHT,1,KITCHENER,UNKNOWN,1914,2020,UNKNOWN,X,,Y,,NA,31.1574479195901
43945,321941,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,SIMS ESTATE DR,602228,RIGHT,2,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,21.9022878568704
43947,321944,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ZELLER DR,22477,RIGHT,2,KITCHENER,UNKNOWN,1966,2020,UNKNOWN,X,,Y,,NA,24.4694557735788
43949,336965,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,C_PKY STR ONRAMP,13280,LEFT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,10.0528387729712
43950,336966,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,C_PKY STR ONRAMP,13280,RIGHT,10,KITCHENER,UNKNOWN,,2020,UNKNOWN,X,,Y,,NA,2.53699417713243
43951,336967,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,C_PKY STR OFFRAMP,13284,RIGHT,10,KITCHENER,UNKNOWN,,2019,UNKNOWN,X,,Y,,NA,1.69938984521328
43960,336976,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,DALEWOOD DR,22896,LEFT,2,KITCHENER,UNKNOWN,,2018,UNKNOWN,X,,Y,,NA,1.05271192733864
43962,336978,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ROSEWOOD DR,23110,LEFT,2,KITCHENER,UNKNOWN,,2019,UNKNOWN,X,,Y,,NA,1.90973774414701
43963,336979,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,ROSEWOOD PL,23107,RIGHT,2,KITCHENER,UNKNOWN,,2019,UNKNOWN,X,,Y,,NA,1.74241631000862
43967,321687,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,VALEBROOK ST,600279,LEFT,2,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,1.64549918225535
43968,321688,ACTIVE,SIDEWALKS AND WALKWAYS,WALKWAY,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,N,ZELLER CRES,600067,RIGHT,2,UNKNOWN,UNKNOWN,2010,2020,UNKNOWN,X,PARKS AND CEMETERIES,Y,,NA,74.915386218757
43972,321693,ACTIVE,SIDEWALKS AND WALKWAYS,SIDEWALK,SURFACE,CONCRETE,,,,1.5,UNKNOWN,N,Y,OLD ZELLER DR,602046,RIGHT,2,KITCHENER,UNKNOWN,2012,2020,UNKNOWN,X,,Y,,NA,5.1076691828268
