OBJECTID,CATEGORY,NUM_SPACES,SUBCATEGORY,PARKING_COST,CREATE_DATE,UPDATE_DATE,SOURCE_DATE,SOURCE,PAYMENT_METHOD,PARKING_ACCESS,MAX_RATE,HOURS,DAYS,STREET,OWNERSHIP,WARDID,PLANNINGCOMMUNITYID,PARKINGONSTREETID,STATUS,Shape__Area,Shape__Length
218,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2125,ACTIVE,37.33251953125,35.4976451211385
219,PARKING,9,ON STREET,2 HOURS FREE,2003/07/02 15:08:02+00,2017/05/17 10:46:33+00,2011/12/13 16:03:11+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,YOUNG ST,KITCHENER,10,1,2012,ACTIVE,106.16943359375,112.471650421327
220,PARKING,4,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2013/05/16 10:57:52+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2133,ACTIVE,39.196044921875,48.5045815536262
221,PARKING,7,ON STREET,2 HOURS FREE,2003/07/02 15:08:01+00,2017/05/01 10:11:26+00,2013/03/22 16:46:47+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,COLLEGE ST,KITCHENER,10,1,1998,ACTIVE,73.23583984375,74.270267520735
222,PARKING,4,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2013/05/16 10:57:52+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2132,ACTIVE,72.874267578125,57.7263253909791
223,PARKING,1,ON STREET, ,2003/07/02 15:08:08+00,2017/04/12 13:59:44+00,2013/03/12 14:23:47+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2150,ACTIVE,20.19970703125,22.8128821929625
224,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,CHURCH ST,KITCHENER,9,4,2135,ACTIVE,22.030517578125,30.3328796107302
225,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/13 16:41:15+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,EBY ST,KITCHENER,9,4,2136,ACTIVE,23.03173828125,23.7695271730066
226,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,EBY ST,KITCHENER,9,4,2134,ACTIVE,31.018798828125,30.3195409842953
227,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,EBY ST,KITCHENER,9,4,2131,ACTIVE,26.132568359375,26.3111338698914
228,PARKING,2,ON STREET, ,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2011/12/12 12:44:42+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,EBY ST,KITCHENER,9,4,2130,ACTIVE,22.986572265625,23.731123619472
229,PARKING,4,ON STREET,2 HOURS FREE,2003/07/02 15:08:07+00,2017/04/12 13:59:44+00,2012/11/05 17:24:15+00,INFRASTRUCTURE SERVICES - PARKING, ,PUBLIC,,,,EBY ST,KITCHENER,9,1,2121,ACTIVE,74.007568359375,64.2060537336101
230,PARKING,1,ON STREET,2 HOURS FREE,2011/12/14 12:04:51+00,2017/05/01 09:53:37+00,2011/12/14 13:35:43+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5934,ACTIVE,10.072998046875,14.0760239414612
231,PARKING,1,ON STREET,2 HOURS FREE,2011/12/14 12:05:17+00,2017/04/12 13:59:44+00,2011/12/14 13:35:44+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5935,ACTIVE,10.0732421875,14.0760239405571
232,PARKING,4,ON STREET,2 HOURS FREE,2011/12/14 12:09:43+00,2017/04/12 13:59:44+00,2011/12/14 13:36:10+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5936,ACTIVE,49.517333984375,47.0655221291108
233,PARKING,1,ON STREET,2 HOURS FREE,2011/12/14 12:16:15+00,2017/05/01 09:51:48+00,2011/12/14 13:38:37+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5937,ACTIVE,11.14013671875,14.5146339339724
234,PARKING,1,ON STREET,2 HOURS FREE,2014/06/11 09:34:55+00,2017/05/01 09:53:37+00,2011/12/14 13:38:36+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5938,ACTIVE,10.2216796875,14.194997431242
235,PARKING,1,ON STREET,2 HOURS FREE,2014/06/11 09:34:55+00,2017/05/01 09:53:37+00,2011/12/14 13:38:35+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,FRANCIS ST N,KITCHENER,10,1,5939,ACTIVE,9.0478515625,13.725755555497
236,PARKING,2,ON STREET,2 HOURS FREE,2011/12/14 13:35:29+00,2017/04/12 13:59:44+00,2012/11/06 15:41:19+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,KING ST E,KITCHENER,10,1,5940,ACTIVE,30.64404296875,35.38372093322
237,PARKING,11,ON STREET,2 HOURS FREE,2011/12/14 13:45:16+00,2017/04/12 13:59:44+00,2011/12/14 13:46:16+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,ONTARIO ST N,KITCHENER,10,1,5941,ACTIVE,95.181884765625,116.337402876492
238,PARKING,2,ON STREET,2 HOURS FREE,2011/12/14 14:10:42+00,2017/04/12 13:59:44+00,2013/03/12 16:01:28+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,WATER ST N,KITCHENER,10,2,5942,ACTIVE,14.4287109375,22.8994171414128
239,PARKING,4,ON STREET,2 HOURS FREE,2011/12/14 14:14:18+00,2017/04/12 13:59:44+00,2011/12/14 14:15:07+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,WATER ST N,KITCHENER,10,1,5943,ACTIVE,89.734619140625,58.3474602027443
240,PARKING,2,ON STREET, ,2011/12/13 11:50:03+00,2017/05/01 15:44:58+00,2011/12/13 16:04:20+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,5924,ACTIVE,36.114501953125,35.1379175450488
241,PARKING,1,ON STREET, ,2003/07/02 15:07:58+00,2017/04/12 13:59:44+00,2011/12/13 11:53:05+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,1925,ACTIVE,18.244140625,19.8487506308682
242,PARKING,1,ON STREET, ,2011/12/13 11:54:21+00,2017/05/01 15:44:58+00,2011/12/13 11:54:27+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,5925,ACTIVE,14.7578125,16.9944485602812
244,PARKING,2,ON STREET, ,2011/12/13 11:59:58+00,2017/04/12 13:59:44+00,2011/12/13 12:00:36+00,INFRASTRUCTURE SERVICES - PARKING,METERED,PUBLIC,,,,AHRENS ST W,KITCHENER,10,2,5927,ACTIVE,27.65771484375,26.0558591389461
247,PARKING,9,ON STREET,2 HOURS FREE,2011/12/13 16:19:31+00,2017/05/01 15:18:33+00,2011/12/13 16:20:34+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,DUKE ST E,KITCHENER,10,2,5930,ACTIVE,108.302734375,91.1117561329957
248,PARKING,4,ON STREET,2 HOURS FREE,2011/12/13 16:21:39+00,2017/04/12 13:59:44+00,2012/11/05 15:44:39+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,DUKE ST E,KITCHENER,10,2,5931,ACTIVE,72.111083984375,68.5837743752091
249,PARKING,1,ON STREET,2 HOURS FREE,2011/12/13 16:22:45+00,2017/04/12 13:59:44+00,2012/11/05 15:44:39+00,INFRASTRUCTURE SERVICES - PARKING,,PUBLIC,,,,DUKE ST E,KITCHENER,10,2,5932,ACTIVE,25.8291015625,34.8319291592043
