OBJECTID,ROADSEGMENTID,CARTO_CLASS,SUBCATEGORY,STREET,FROM_STREET,TO_STREET,FROM_LEFT_ADDRESS,TO_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,TO_RIGHT_ADDRESS,REGIONAL_ROAD,LANES,OWNERSHIP,FLOW_DIRECTION,SOURCE,SOURCE_DATE,SPEED_LIMIT,AADT,AADT_YEAR,TRUCK_ACCESS,Shape__Length
58277,21124,Arterial,MAJOR,TRUSSLER RD,C_PKY STR OFFRAMP,C_PKY STR OFFRAMP,,,,,REGIONAL RD 70,5,REG,TwoWay,REG PLAN 1600,2003/12/12 00:00:00+00,50,22086,2015,24HR,102.822386476387
58297,10178,Arterial,MAJOR,WEBER ST E,BORDEN AVE N,ONWARD AVE,328,328,307,315,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 299,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,96.5689233642068
58298,10164,Arterial,MAJOR,WEBER ST E,STIRLING AVE N,SIMEON ST,228,252,241,243,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 77,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,164.836138921687
58299,9859,Arterial,MAJOR,WEBER ST E,PANDORA AVE N,FAIRVIEW AVE,196,206,193,205,REGIONAL RD  8,4,REG,TwoWay,REG PLAN 77,2003/04/22 00:00:00+00,,,,7-7 MON-FRI,90.5807429530052
58316,9382,Arterial,MAJOR,OTTAWA ST S,MAURICE ST,NYBERG ST,85,123,60,60,REGIONAL RD  4,2,REG,TwoWay,REG PLAN 262,2003/04/22 00:00:00+00,,,,24HR,263.495788405018
58320,12670,Arterial,MAJOR,BRUCE ST,EPHRAIM ST,FREDERICK ST,74,88,73,81,REGIONAL RD 61,4,REG,TwoWay,QC,2003/12/18 00:00:00+00,,,,7-7 MON-SAT,114.066920355932
58331,10389,Arterial,MAJOR,LANCASTER ST W,CLIFTON RD,ASH ST,303,317,290,296,REGIONAL RD 29,2,REG,TwoWay,REG PLAN 666,2003/04/22 00:00:00+00,,,,24HR,56.4184602036193
58334,6352,Arterial,MAJOR,WESTMOUNT RD E,OTTAWA ST S,LAURENTIAN DR,700,750,675,715,REGIONAL RD 50,4,REG,TwoWay,REG PLAN 1240,2002/08/13 00:00:00+00,,,,24HR,362.407973575373
58342,1691,Arterial,MAJOR,VICTORIA ST S,GARMENT ST,MICHAEL ST,127,127,,,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 418,2003/04/22 00:00:00+00,,,,24HR,62.455862318355
58343,1729,Arterial,MAJOR,VICTORIA ST S,VICMOUNT DR,HAZELGLEN DR,,,,,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 1319,2003/04/22 00:00:00+00,,,,24HR,48.2425791171808
58352,20811,Arterial,MAJOR,HIGHLAND RD W,WESTHEIGHTS DR,WESTFOREST TRAIL,,,,,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 1384,2003/04/22 00:00:00+00,,,,24HR,1136.39601592631
58353,9393,Arterial,MAJOR,OTTAWA ST S,NYBERG ST,DUNDAS AVE,135,135,124,136,REGIONAL RD  4,2,REG,TwoWay,REG PLAN 262,2003/04/22 00:00:00+00,,,,24HR,82.8780241463598
58357,6915,Arterial,MAJOR,FREDERICK ST,PEQUEGNAT AVE,SIMEON ST,268,268,269,269,REGIONAL RD  6,2,REG,TwoWay,REG PLAN 424,2003/04/22 00:00:00+00,,,,7-7 MON-SAT,30.6019412462414
58363,8925,Arterial,MAJOR,CHARLES ST W,FRANCIS ST S,VICTORIA ST S,121,151,144,144,REGIONAL RD 64,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,NO ACCESS,157.006028510215
58368,21835,Arterial,MAJOR,COURTLAND AVE E,BALZER RD,MANITOU DR,,,1321,1321,REGIONAL RD 53,7,REG,TwoWay,MCP 988,2002/08/13 00:00:00+00,,,,24HR,143.351220088736
58386,105386,Arterial,MAJOR,NEW DUNDEE RD,DODGE DR,STAUFFER WOODS TRAIL,,,1388,1388,REGIONAL RD 12,2,REG,TwoWay,58R-13914,2003/04/22 00:00:00+00,80,6494,2014,24HR,290.37164432697
58387,105387,Arterial,MAJOR,NEW DUNDEE RD,STAUFFER WOODS TRAIL,BLAIR VALLEY ST,,,,,REGIONAL RD 12,2,REG,TwoWay,58R-13914,2003/04/22 00:00:00+00,80,6494,2014,24HR,326.234919311147
58396,1724,Arterial,MAJOR,VICTORIA ST S,WESTMOUNT RD W,VICMOUNT DR,751,751,720,756,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1319,2003/04/22 00:00:00+00,,,,24HR,213.128532396881
58397,6174,Arterial,MAJOR,FISCHER HALLMAN RD,QUEENS BLVD,SUMMIT AVE,,,247,247,REGIONAL RD 58,5,REG,TwoWay,REG PLAN 1384,2003/04/22 00:00:00+00,,,,24HR,187.564374143557
58403,22240,Arterial,MAJOR,SPORTSWORLD DR,KING ST BYPASS OFFRAMP,KING ST BYPASS ONRAMP,180,180,,,REGIONAL RD 38,2,REG,TwoWay,2009 ORTHO,2009/04/15 00:00:00+00,50,8000,1997,NO ACCESS,10.7076252773735
58414,6948,Arterial,MAJOR,VICTORIA ST N,DUNHAM AVE,INDIANA ST,560,560,,,REGIONAL RD 55,4,REG,TwoWay,REG PLAN 159,2003/04/22 00:00:00+00,,,,24HR,94.5507658185892
58415,12690,Arterial,MAJOR,VICTORIA ST N,INDIANA ST,EDNA ST,,,577,593,REGIONAL RD 55,6,REG,TwoWay,REG PLAN 159,2003/04/22 00:00:00+00,,,,24HR,88.4645604653726
58428,9612,Arterial,MAJOR,BLEAMS RD,HOMER WATSON BLVD,CENTURY HILL DR,,,300,300,REGIONAL RD 56,5,REG,TwoWay,,1970/01/01 00:00:00+00,,,,7-7 MON-SUN,419.163602198115
58430,6399,Arterial,MAJOR,OTTAWA ST S,PINEDALE DR,HOWE DR,,,,,REGIONAL RD  4,4,REG,TwoWay,REG PLAN 1240,2002/08/13 00:00:00+00,,,,24HR,137.890089712664
58431,6389,Arterial,MAJOR,OTTAWA ST S,WESTMOUNT RD E,PINEDALE DR,,,,,REGIONAL RD  4,5,REG,TwoWay,REG PLAN 1240,2002/08/13 00:00:00+00,,,,24HR,213.366708961879
58441,12428,Arterial,MAJOR,VICTORIA ST N,CENTENNIAL RD,SHIRLEY DR,1800,1800,,,REGIONAL RD 55,5,REG,TwoWay,REG PLAN 1677,2003/04/22 00:00:00+00,,,,24HR,477.419829784054
58446,6624,Arterial,MAJOR,CHARLES ST E,CEDAR ST S,MADISON AVE S,220,230,,,REGIONAL RD 64,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,126.470745954241
58447,6628,Arterial,MAJOR,CHARLES ST E,EBY ST S,CEDAR ST S,,,87,101,REGIONAL RD 64,3,REG,TwoWay,,1970/01/01 00:00:00+00,,,,24HR,104.653423131677
