X,Y,OBJECTID,ROADSANDBOXID,CREATE_DATE,UPDATE_DATE,STATUS,STATUS_DATE,SOURCE,SOURCE_DATE,ROAD_SAND_BOX_NUM,ADDRESS,LOCATION,DATE_CHECKED,FILLED,STREET,CATEGORY,PUBLIC_ACCESS
-80.4807356220605,43.4589395858959,356,60066,2016/01/21 11:34:05+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 14:26:20+00,OPERATIONS,2016/01/21 11:34:05+00,46,11 Chestnut St,At Victoria St N across from #11 by hydro pole,1970/01/01 00:00:00+00,Y,CHESTNUT ST,SAND,Y
-80.4810899470515,43.4575718861088,357,60067,2016/01/21 11:34:31+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:34:31+00,163,368 Luella St,By hydro pole,1970/01/01 00:00:00+00,Y,LUELLA ST,SAND,Y
-80.4836624078103,43.4512268667482,358,60068,2016/01/21 11:34:54+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:34:54+00,239,91 Scott St,In laneway at Scott St,1970/01/01 00:00:00+00,Y,SCOTT ST,SAND,Y
-80.478731546751,43.4492839844951,359,60069,2016/01/21 11:35:23+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 15:45:55+00,OPERATIONS,2016/01/21 11:35:23+00,228,21 Rose St,By hydro pole,1970/01/01 00:00:00+00,Y,ROSE ST,SAND,Y
-80.4802874386547,43.448588625358,360,60070,2016/01/21 11:36:08+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:36:08+00,165,61 Madison Ave N,At Park on Weber St E,1970/01/01 00:00:00+00,Y,MADISON AVE N,SAND,Y
-80.479697905998,43.4457246697607,361,60073,2016/01/21 11:41:41+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:41:41+00,24,5 Betzner Ave,At King St E,1970/01/01 00:00:00+00,Y,BETZNER AVE N,SAND,Y
-80.4778736344579,43.44494655963,362,60074,2016/01/21 11:42:55+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:42:55+00,144,680 King St E,On Fairview Ave,1970/01/01 00:00:00+00,Y,KING ST E,SAND,Y
-80.4769657163046,43.4444932212679,363,60075,2016/01/21 11:43:32+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:43:32+00,145,744 King St E,On Stirling Ave N,1970/01/01 00:00:00+00,Y,KING ST E,SAND,Y
-80.4771290160823,43.4440671060433,364,60076,2016/01/21 11:43:47+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 10:34:32+00,OPERATIONS,2016/01/21 11:43:47+00,260,King St E,On Stirling at entrance to garage,1970/01/01 00:00:00+00,Y,STIRLING AVE S,SAND,Y
-80.4712226421759,43.4497441144683,366,60078,2016/01/21 11:46:08+00,2020/11/27 00:35:50+00,ACTIVE,2019/02/21 16:19:43+00,OPERATIONS,2016/01/21 11:46:08+00,201,233 Pandora Cres, On blvd at 233 Pandora Cres,1970/01/01 00:00:00+00,Y,PANDORA CRES,SAND,Y
