county,month,rainfall,raindays
Maia,11/2019,261.7,30
Maia,12/2019,329.9,14
Maia,01/2020,211.5,18
Maia,02/2020,65,12
Maia,03/2020,95.9,13
Maia,04/2020,139.7,22
Maia,05/2020,39.5,13
Maia,06/2020,26,11
Maia,07/2020,4.7,4
Maia,08/2020,43.5,6
Maia,09/2020,50.4,12
Maia,10/2020,152.6,15
Maia,11/2020,99.5,18
Maia,12/2020,303.1,26
Maia,01/2021,135.9,15
Maia,02/2021,262.6,21
Maia,03/2021,14.5,10
Gondomar,09/2019,59.4,8
Gondomar,10/2019,258.2,14
Gondomar,11/2019,303.7,30
Gondomar,12/2019,421.9,14
Gondomar,01/2020,228.5,17
Gondomar,02/2020,59.5,10
Gondomar,03/2020,113.6,12
Gondomar,04/2020,152.7,21
Gondomar,05/2020,60.9,12
Gondomar,06/2020,30.9,12
Gondomar,07/2020,8.4,4
Gondomar,08/2020,37.6,6
Gondomar,09/2020,52.7,12
Gondomar,10/2020,181.7,15
Gondomar,11/2020,122.3,18
Gondomar,12/2020,282.8,24
Gondomar,01/2021,173.7,14
Gondomar,02/2021,343.7,21
Gondomar,03/2021,8.5,10
Santa Maria da Feira,09/2019,54.2,8
Santa Maria da Feira,10/2019,211.2,14
Santa Maria da Feira,11/2019,269.5,30
Santa Maria da Feira,12/2019,382,15
Santa Maria da Feira,01/2020,193.1,18
Santa Maria da Feira,02/2020,56.8,10
Santa Maria da Feira,03/2020,106.5,14
Santa Maria da Feira,04/2020,166.4,24
Santa Maria da Feira,05/2020,57.8,13
Santa Maria da Feira,06/2020,33.7,13
Santa Maria da Feira,07/2020,8.2,4
Santa Maria da Feira,08/2020,28.2,5
Santa Maria da Feira,09/2020,54.5,12
Santa Maria da Feira,10/2020,158.9,14
Santa Maria da Feira,11/2020,115.8,18
Santa Maria da Feira,12/2020,240.2,25
Santa Maria da Feira,01/2021,161.5,14
Santa Maria da Feira,02/2021,351.1,21
Santa Maria da Feira,03/2021,14.8,11
