Freguesia;Fevereiro de 2021;Janeiro de 2021;Dezembro de 2020;Novembro de 2020;Outubro de 2020;Setembro de 2020;Agosto de 2020;Julho de 2020;Junho de 2020;Maio de 2020;Abril de 2020;Março de 2020;Fevereiro de 2020;Janeiro de 2020;Dezembro de 2019;Novembro de 2019;Outubro de 2019;Setembro de 2019;Agosto de 2019;Julho de 2019;Junho de 2019;Maio de 2019;Abril de 2019;Março de 2019;Fevereiro de 2019;Janeiro de 2019
1870706: Montemor-o-Novo;2604160;2745180;4099940;3381745;3548390;3417345;3628230;3935645;3361295;3041285;2324610;2986810;3418795;3489590;4286285;3692825;3699275;3664295;4111140;4231880;3835395;3752935;3462990;3579965;3197915;3230695
1870707: Mora;689160;735100;1065580;841920;933110;815840;825090;1014600;943630;776050;607940;776670;874640;832810;1083730;911610;946640;907460;1060770;1022700;937800;967570;876270;909350;815470;825315
1870708: Mourão;519070;562630;757080;730080;716360;687810;764920;578770;632250;590990;407240;557670;666980;626790;748710;655880;612240;652390;797370;650075;617230;677400;632780;625715;578875;580525
1870709: Portel;898990;964720;1399710;1210940;1197450;1157030;1262840;1343850;1095900;969830;776620;888930;926350;976280;1197520;1139750;1034790;1037000;1203880;1169110;1034155;1028750;963595;971190;856035;910445
1870710: Redondo;946640;915530;1326510;1125170;1137680;1159180;1257850;1340980;1182420;1092800;845160;1024470;1131780;1089000;1353730;1214260;1240520;1121280;1310870;1317080;1137590;1157360;1113740;1114310;993210;1000010
1870711: Reguengos de Monsaraz;1668060;1694940;2547420;2047720;2203160;2095610;2226920;2108870;1905400;1830270;1491490;1863330;2093310;2152300;2733730;2357660;2272820;2295290;2777690;2596980;2477360;2418240;2271590;2223790;1950560;1996960
1870712: Vendas Novas;2147880;2260650;3306890;2754890;2901050;2747300;2860030;3111680;2569340;2371280;1808950;2361950;2678590;2635870;3504850;2900010;2912830;2775040;3009900;2993000;2826590;2879000;2633650;2700970;2442570;2471870
1870713: Viana do Alentejo;802650;876110;1197670;956030;949750;992230;1097310;1200440;1060580;925460;724380;897270;955690;911430;1156230;1045110;1002080;1025870;1101380;1196050;1069980;1028280;957710;969065;878435;904555
1870714: Vila Viçosa;1285660;1371490;2018730;1580600;1665050;1682430;1717200;1926570;1636140;1467280;1142810;1416120;1588340;1553190;1999670;1655850;1595920;1605200;1762610;1781110;1670740;1717195;1578420;1607550;1428910;1480990
1500801: Albufeira;7818670;8309200;12023210;10317990;11232820;12651530;16938725;14763610;12029280;9554090;6969520;10041810;11882400;11774720;13954930;12676275;12749280;14509990;20341240;17672625;14678790;13490335;12732180;12722390;11282180;11778295
1500802: Alcoutim;329780;357380;501830;460010;450470;486040;600680;542900;424810;354260;278710;329050;321610;341770;403060;399170;384210;436440;519180;490470;428560;412050;422350;397250;307240;317820
1500803: Aljezur;1184660;1239460;1607040;1404790;1562010;1924770;2924870;2383900;1815330;1366070;1000900;1191720;1323890;1251330;1455030;1360790;1431000;1712770;2847750;2051150;1634810;1440660;1406180;1325770;1124860;1167840
1500804: Castro Marim;879820;926020;1275160;1098070;1061590;1620800;2397840;2085320;1396880;1086690;809850;1027150;1103100;1073930;1239220;1153520;1161790;1640560;2891080;2543370;1681590;1331490;1225160;1259450;1027100;1051250
1500805: Faro;12011045;12985075;19068575;16097620;16699800;16395150;17143325;18369030;16076010;13953685;10236980;14991340;18228425;18315810;21936210;19742850;20354090;19345235;20743805;22009145;19870480;20870550;18834775;19455810;17854690;18055550
1500806: Lagoa;3754735;4007885;5294330;4679950;4968205;5167115;6212775;5933265;5090470;4471950;3429790;4490580;5007535;4906585;5528380;5293960;5446735;5496290;7276555;6469620;5625040;5734985;5175360;5283350;4793775;4728945
1500807: Lagos;5794850;6134440;8503720;7351930;7818450;8185050;9737660;8824520;7586010;6536530;5002380;6852440;7845830;7690430;8815440;8172640;8496660;8608030;10713980;9745560;8594610;8666190;8097170;8413380;7450910;7414890
1500808: Loulé;13311610;14088610;20713170;17673990;19042110;19847540;24688460;22816260;19182680;15490660;11445220;16130870;19473200;19134830;22421890;19999370;20833520;22250430;29855930;26934930;22179470;21604880;20173290;20518520;18255060;18522230
1500809: Monchique;569790;628770;848550;726260;757740;771730;866360;851120;774480;680170;548390;704890;724970;689560;861870;784300;757320;767010;839190;866510;792120;792300;717060;821530;729220;727060
1500810: Olhão;6950640;7231850;10290970;8432810;8972120;9112110;10685030;10738110;9053130;8089770;6248360;7791750;9003160;8602810;10663570;9442750;9570540;9466000;11375450;10957170;9727590;9907850;9157850;9468260;8444550;8534010
1500811: Portimão;9865920;10723285;15919800;13579670;14367070;15691165;18780175;17539805;14410920;11830590;8741390;12080925;14817590;14689695;17799145;16090110;15910750;17444790;22754060;20574010;17143155;16470830;15225285;15535645;13659080;14176320
1500812: São Brás de Alportel;2033620;2117430;2839595;2399980;2573385;2578195;2750860;2826810;2542975;2289685;1739880;2278460;2576345;2560335;3004575;2663140;2743335;2642570;2949790;3065640;2780725;2896855;2770960;2748010;2420960;2504315
1500813: Silves;5143470;5394730;7487300;6548000;6797350;7540800;9394670;8451640;6857630;5885000;4468370;5551970;6309000;6145050;7100370;6471620;6634370;7637440;11126420;9439260;7361300;6762990;6361430;6540440;5628910;5703310
1500814: Tavira;4459080;4650040;6878750;5896060;6536930;7447590;9538590;8407930;6723010;5402370;3867900;5285980;6371700;6135430;7166150;6592270;6916880;7798120;11295960;9670030;7822420;7249830;6810330;6752890;5907370;5966790
1500815: Vila do Bispo;778675;786060;1059130;941145;1078485;1311870;1730605;1321520;1237280;1059975;773955;936355;1028435;1013420;1217360;1073395;1122475;1270330;1804305;1502775;1244185;1230180;1111545;1146640;959080;993080
1500816: Vila Real de Santo António;3245350;3453050;4997700;4244345;4726430;6622240;9738095;7952695;5864690;4107280;2919135;3973440;4893480;4628155;5433610;4871325;5383930;7321555;12686695;10169630;6963720;5429500;5442990;5159980;4446640;4536670
